id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
108,Кировский,Гагарина,174,Спортивная,16,64.7,47.0,7.4,5,12,15,Деревянный,Дерево,2000,Дизайнерский,Балкон,3.23,Совмещенный,Нет,Да,Нет,Электрическое,На улицу,Да,Продажа,Агентство,15204047,234993,2026-07-16
109,Южный,Молодежная,19,Площадь Ленина,21,39.0,23.9,21.4,2,4,13,Панельный,Дерево,2014,Дизайнерский,Нет,3.01,2 санузла,Нет,Нет,Да,Электрическое,На парк,Нет,Продажа,Застройщик,7521384,192856,2025-10-24
110,Московский,Ленина,7,Юбилейная,42,72.9,41.4,9.9,5,1,14,Кирпичный,Монолит,1990,Евроремонт,Балкон,2.72,2 санузла,Да,Да,Нет,Газовое,На парк,Да,Аренда,Агентство,17583407,241199,2025-05-22
111,Центральный,Пушкина,127,Юбилейная,16,42.5,31.2,19.2,3,6,11,Блочный,Панель,1965,Евроремонт,2 лоджии,2.6,2 санузла,Да,Да,Да,Автономное,На улицу,Нет,Аренда,Собственник,3434595,80814,2026-02-17
112,Фрунзенский,Ленина,132,Юбилейная,40,89.2,53.0,11.3,1,4,5,Монолитный,Кирпич,2023,Дизайнерский,Нет,2.63,2 санузла,Да,Да,Нет,Газовое,Во двор,Нет,Аренда,Застройщик,16192208,181527,2025-03-15
113,Центральный,Лесная,174,Парк Культуры,41,35.6,21.9,12.8,5,8,10,Деревянный,Монолит,1977,Требует капремонта,2 лоджии,3.37,Раздельный,Нет,Нет,Да,Газовое,Смешанный,Да,Продажа,Собственник,6237654,175215,2025-03-25
114,Кировский,Советская,30,Университет,36,84.8,48.1,16.2,3,24,25,Кирпичный,Панель,2011,Требует капремонта,Нет,2.98,Совмещенный,Нет,Да,Да,Газовое,На парк,Да,Аренда,Собственник,13938745,164372,2026-03-28
115,Южный,Молодежная,141,Северная,6,118.8,82.8,20.5,5,19,21,Монолитно-кирпичный,Кирпич,2010,Требует капремонта,Нет,2.57,Раздельный,Нет,Да,Да,Электрическое,Во двор,Да,Аренда,Застройщик,29477250,248125,2026-03-27
116,Кировский,Мира,160,Университет,14,56.2,35.1,5.3,5,4,5,Деревянный,Кирпич,2016,Евроремонт,Балкон,2.61,Раздельный,Нет,Да,Нет,Центральное,На улицу,Нет,Аренда,Застройщик,8352668,148624,2025-05-19
117,Западный,Победы,50,Заречная,39,135.1,83.9,11.0,3,2,19,Панельный,Газобетон,1972,Дизайнерский,Нет,3.33,Совмещенный,Нет,Да,Да,Газовое,На улицу,Да,Аренда,Застройщик,10666280,78951,2025-09-06
118,Ленинский,Молодежная,124,Площадь Ленина,18,137.7,91.9,9.3,6,13,25,Панельный,Кирпич,2014,Косметический,2 лоджии,2.52,2 санузла,Нет,Нет,Да,Электрическое,На парк,Да,Продажа,Агентство,10137060,73617,2025-06-04
119,Приморский,Строителей,120,Юбилейная,14,53.4,38.9,15.0,1,9,14,Монолитный,Монолит,1979,Без ремонта,Лоджия,2.82,2 санузла,Нет,Нет,Да,Центральное,На улицу,Нет,Продажа,Застройщик,15205276,284743,2026-04-24
120,Октябрьский,Мира,52,Юбилейная,23,61.1,36.9,13.5,3,3,8,Монолитно-кирпичный,Газобетон,2025,Без ремонта,Лоджия,3.36,Раздельный,Да,Да,Да,Газовое,Смешанный,Нет,Продажа,Агентство,13637520,223200,2025-02-04
121,Приморский,Гагарина,35,Университет,33,69.5,48.0,16.4,4,13,21,Панельный,Дерево,2005,Дизайнерский,Балкон + лоджия,2.72,Раздельный,Нет,Да,Да,Автономное,Смешанный,Нет,Аренда,Застройщик,21156425,304409,2025-08-29
122,Ленинский,Победы,199,Юбилейная,38,113.6,84.4,6.2,2,18,22,Монолитно-кирпичный,Кирпич,1968,Дизайнерский,Лоджия,2.66,Совмещенный,Нет,Нет,Да,Автономное,Смешанный,Да,Продажа,Собственник,25370742,223334,2025-12-28
123,Южный,Строителей,13,Автозаводская,42,84.9,61.9,9.8,5,4,5,Панельный,Газобетон,1970,Евроремонт,Балкон,2.72,Совмещенный,Да,Нет,Да,Газовое,Во двор,Да,Аренда,Агентство,10320953,121566,2025-02-28
124,Северный,Университетская,157,Парк Культуры,12,112.3,70.9,16.5,3,1,27,Блочный,Газобетон,1965,Дизайнерский,Лоджия,2.87,Раздельный,Да,Да,Нет,Газовое,Во двор,Нет,Аренда,Собственник,33275613,296310,2025-02-16
125,Фрунзенский,Строителей,148,Парк Культуры,23,45.2,26.1,18.0,1,1,6,Кирпичный,Газобетон,2004,Евроремонт,Балкон + лоджия,2.81,Совмещенный,Нет,Нет,Нет,Газовое,На реку,Нет,Продажа,Агентство,8178804,180947,2025-06-07
126,Центральный,Строителей,35,Автозаводская,41,37.6,26.8,21.6,2,4,4,Панельный,Газобетон,1987,Требует капремонта,Балкон,3.18,2 санузла,Да,Нет,Нет,Автономное,На улицу,Да,Продажа,Агентство,6582932,175078,2025-04-03
127,Северный,Университетская,188,Площадь Ленина,23,57.0,42.5,13.5,6,23,28,Панельный,Дерево,2007,Евроремонт,Нет,2.69,Совмещенный,Нет,Нет,Нет,Автономное,Во двор,Нет,Продажа,Агентство,10864884,190612,2025-01-28
128,Восточный,Строителей,41,Заречная,42,56.9,35.3,10.5,4,14,26,Монолитный,Панель,1993,Евроремонт,Лоджия,3.29,Совмещенный,Нет,Да,Нет,Автономное,На улицу,Нет,Аренда,Собственник,8434799,148239,2026-05-26
129,Западный,Университетская,7,Автозаводская,3,144.1,85.3,20.0,3,2,22,Кирпичный,Кирпич,2014,Косметический,Лоджия,2.89,Совмещенный,Нет,Да,Да,Электрическое,На парк,Да,Аренда,Агентство,16973250,117788,2025-05-24
130,Центральный,Гагарина,130,Южная,38,121.4,88.2,21.7,1,22,24,Кирпичный,Газобетон,1988,Дизайнерский,Нет,3.21,2 санузла,Да,Да,Нет,Центральное,Во двор,Да,Аренда,Собственник,14906706,122790,2025-01-16
131,Северный,Победы,56,Университет,35,24.3,14.5,14.2,6,14,20,Монолитно-кирпичный,Кирпич,2022,Евроремонт,Балкон,2.98,Совмещенный,Нет,Нет,Да,Центральное,На улицу,Да,Аренда,Застройщик,2416756,99455,2026-05-24
132,Кировский,Кирова,82,Северная,19,25.4,17.5,16.1,5,5,15,Блочный,Дерево,2000,Косметический,Балкон + лоджия,2.87,Раздельный,Нет,Да,Да,Автономное,На реку,Нет,Аренда,Собственник,6374231,250954,2025-10-03
133,Октябрьский,Университетская,81,Заречная,4,114.2,64.8,15.6,1,7,30,Деревянный,Кирпич,2009,Дизайнерский,Балкон + лоджия,3.0,2 санузла,Нет,Нет,Да,Электрическое,Смешанный,Да,Аренда,Застройщик,28775773,251977,2026-03-30
134,Западный,Садовая,185,Парк Культуры,43,113.7,81.3,6.2,5,10,12,Деревянный,Газобетон,1986,Дизайнерский,2 лоджии,3.05,Совмещенный,Да,Да,Нет,Автономное,На реку,Да,Аренда,Собственник,35497935,312207,2025-09-29
135,Северный,Кирова,40,Проспект Мира,3,44.7,30.5,8.0,6,6,25,Блочный,Кирпич,1999,Евроремонт,Лоджия,2.83,2 санузла,Нет,Нет,Да,Газовое,На парк,Нет,Аренда,Застройщик,7596541,169945,2026-03-15
136,Октябрьский,Университетская,61,Южная,10,110.3,76.8,8.0,5,4,7,Монолитный,Газобетон,1958,Евроремонт,Балкон + лоджия,2.62,Раздельный,Да,Да,Да,Газовое,Во двор,Да,Аренда,Застройщик,27388041,248305,2026-05-16
137,Восточный,Гагарина,109,Проспект Мира,6,148.7,89.4,9.5,4,9,21,Деревянный,Монолит,2025,Без ремонта,Балкон + лоджия,2.94,Раздельный,Нет,Да,Нет,Электрическое,На парк,Нет,Аренда,Собственник,35206360,236761,2025-04-01
138,Северный,Мира,194,Заречная,38,149.8,88.1,21.5,6,5,16,Блочный,Дерево,2005,Требует капремонта,Балкон + лоджия,3.1,Раздельный,Да,Да,Нет,Электрическое,На парк,Нет,Аренда,Собственник,12973878,86608,2025-12-04
139,Центральный,Университетская,76,Северная,43,78.1,45.1,17.8,1,4,6,Монолитный,Дерево,1987,Дизайнерский,Нет,2.68,Совмещенный,Да,Да,Да,Центральное,На парк,Да,Продажа,Застройщик,20626522,264104,2026-07-09
140,Центральный,Университетская,38,Парк Культуры,36,136.1,80.3,10.7,1,2,18,Монолитный,Панель,2011,Требует капремонта,Нет,3.03,Совмещенный,Нет,Нет,Да,Газовое,На парк,Нет,Аренда,Застройщик,39625378,291149,2026-02-21
